qid,question_type,support_status,evidence_chunk_ids,question,gold_answer,review_note
OE-0228,OE,not_found,,How would you create the dictionary in blocked sort-based indexing on the ﬂy to avoid an extra pass through the data?,"To create the dictionary in blocked sort-based indexing on the fly and avoid an extra pass through the data, you can follow these steps:
Read and Process Data in Blocks: As you read the input data, divide it into manageable blocks. For each block, extract the terms and their associated document IDs.
Maintain a Dynamic Dictionary: While processing each block, maintain a dictionary (or a hash table) that records the unique terms encountered along with their corresponding postings lists (document IDs).
Sort and Merge: After processing each block, sort the terms within that block. You can then merge the sorted terms into the overall dictionary dynamically, combining postings lists for terms that appear in multiple blocks.
Output the Dictionary: Once all blocks have been processed, the dictionary will be complete, and you will have avoided an extra pass through the data.",
OE-0232,OE,partial,textbook11-r0103-c008|textbook11-r0104-c000,What challenges are associated with developing hybrid recommendation systems that combine collaborative and content-based filtering approaches?,"Challenges include data sparsity, cold start problems, and effectively blending the strengths of different filtering methods.",段落支持混合方法与融合预测器，但未充分覆盖答案中的数据稀疏和冷启动。
OE-0233,OE,supported,textbook12-r0451-c000|textbook12-r0452-c000,How can matrix factorization techniques such as Singular Value Decomposition (SVD) enhance the quality of recommendations in collaborative filtering?,"SVD helps identify latent factors in user-item interactions, enabling precise and personalized recommendations.",
OE-0236,OE,supported,textbook19-r0013-c001|textbook12-r0319-c002,Explain the concepts of stemming and lemmatization in morphological analysis. How do they differ?,"Stemming is the process of reducing a word to its base or root form by removing prefixes and suffixes, often without regard to the actual meaning (e.g., ""running"" becomes ""run""). Lemmatization, on the other hand, reduces a word to its base form (lemma) based on its meaning and context (e.g., ""better"" becomes ""good""). The key difference is that stemming may produce non-words, while lemmatization always results in valid words.",
OE-0251,OE,supported,textbook10-r0194-c000|textbook2-r0158-c002,Describe how computer vision technologies are applied in autonomous vehicles and the benefits they provide.,"In autonomous vehicles, computer vision technologies are used for various tasks, including object detection and recognition, which involves identifying other vehicles, pedestrians, traffic signs, and obstacles to enable safe navigation. Additionally, lane detection is another critical application, where the system recognizes road markings to help maintain the vehicle in the correct lane. The benefits of these technologies include improved safety through the reduction of human errors, enhanced situational awareness for the vehicle, and the ability to operate in complex environments. By leveraging computer vision, autonomous vehicles can make informed decisions in real-time, significantly enhancing their functionality and safety.",
OE-0263,OE,not_found,,How does multiple inheritance complicate the process of inheritance reasoning in knowledge representation systems?,Multiple inheritance complicates inheritance reasoning because an object belonging to multiple categories or categories overlapping can create conflicts or ambiguities in determining inherited properties.,
OE-0267,OE,supported,textbook2-r0062-c006|textbook2-r0063-c003,How does classical planning differ from scheduling in the context of managing actions and time?,"Classical planning focuses on the order and sequence of actions without considering time, whereas scheduling involves specifying how long actions take and their precise timing, such as departure and arrival times.",
TF-0014,TF,supported,textbook13-r0025-c004,"If there are N items, the bubble sort makes exactly N*N comparisons.",False,
TF-0015,TF,supported,textbook13-r0039-c000,A stack or a queue often serves as the underlying mechanism on which an ADT array is based.,False,
TF-0016,TF,partial,textbook13-r0039-c000,Pushing and popping items on a stack and inserting and removing items in a queue all take O(N) time.,False,段落支持递归二分思想，题目绝对化表述需结合条件判断。
TF-0030,TF,supported,textbook7-r0012-c006,The Date: header in the HTTP response message indicates when the object in the response was last modified.,False,
TF-0033,TF,not_found,,Obtain the HTTP/1.1 specification (RFC 2616). Either a server or a client may close a transport connection between them if either one detects the connection has been idle for some time. Is it possible that one side starts closing a connection while the other side is transmitting data via this connection?,True,
TF-0045,TF,not_found,,Suppose that the last SampleRTT in a TCP connection is equal to 1 sec. The current value of TimeoutInterval for the connection will necessarily be ≥1 sec.,False,
TF-0053,TF,supported,textbook7-r0032-c007,The HOL blocking occurs in input ports.,True,
TF-0060,TF,supported,textbook7-r0040-c001,"When an OSPF route sends its link state information, it is sent only to those nodes directly attached neighbors.",False,
TF-0061,TF,not_found,,"A packet flow is said to conform to a leaky bucket specification (r, b) with burst size b and average rate r if the number of packets that arrive to the leaky bucket is less than rt+b packets in every interval of time of length t for all t. Will a packet flow that conforms to a leaky bucket specification (r, b) ever have to wait at a leaky bucket policer with parameters r and b?",False,
TF-0071,TF,not_found,,Suppose an SSL session employs a block cipher with CBC. True or false: The server sends to the client the IV in the clear.,True,
TF-0089,TF,not_found,,The alternating-bit protocol is the same as the GBN protocol with a sender and receiver window size of 1.,True,
TF-0093,TF,supported,textbook7-r0032-c005,Suppose two packets arrive to two different input ports of a router at exactly the same time. Also suppose there are no other packets anywhere in the router. Suppose the two packets are to be forwarded to the same output port. Is it possible to forward the two packets through the switch fabric at the same time when the fabric uses a crossbar?,False,
TF-0103,TF,supported,textbook7-r0067-c001,"Consider a TCP connection going over Mobile IP. True or false: The TCP connection phase between the correspondent and the mobile host goes through the mobile’s home network, but the data transfer phase is directly between the correspondent and the mobile host, bypassing the home network.",False,
TF-0108,TF,not_found,,"Let p denote the number of producers, c the number of consumers, and n the buffer size in units of items. The mutex semaphore in sbuf_insert and sbuf_remove is necessary when p = 1, c = 1, n>1",True,
TF-0117,TF,supported,textbook4-r0240-c002,The principle of locality states that programs access all code and data uniformly.,False,
TF-0120,TF,supported,textbook6-r0180-c000,Service level objectives (SLOs) specify performance goals for average latency rather than for the percentage of requests below a specific latency threshold.,False,
TF-0125,TF,supported,textbook11-r0004-c000,"Descriptive statistics can be generalized beyond the data sample, whereas inferential statistics only describe the data you have.",False,
TF-0127,TF,partial,textbook11-r0013-c008,The cosine similarity of two vectors can be negative.,True,段落支持一般规则，但未逐字覆盖题目表述。
TF-0132,TF,not_found,,"If P (a | b, c)=P (a), then P (b | c)=P (b)",False,
TF-0151,TF,supported,textbook15-r0063-c007,A good cryptographic hash function should always produce a fixed-length output.,True,
TF-0153,TF,partial,textbook7-r0077-c000,Firewalls can prevent all types of cyber attacks.,False,段落支持安全机制的一部分，判断需结合题目限定。
TF-0166,TF,not_found,,Our perception of size relies on the visual angle,False,
TF-0177,TF,not_found,,"Cognitive models represent users' interaction with interfaces by varying levels of detail, from high-level goals and problem-solving to motor-level activities like keystrokes, and are developed by psychologists or computer scientists.",True,
TF-0181,TF,supported,textbook2-r0118-c002,"In the gradient descent algorithm, sometimes we need to adjust the learning rate and make it negative, so that we could better performance.",False,
TF-0184,TF,not_found,,Gradient descent algorithm is one type of supervised machine learning technique.,False,
TF-0188,TF,supported,textbook11-r0064-c002|textbook11-r0064-c000,A Bayesian Belief Net consists of a graph and some local conditional probabilities.,True,
TF-0219,TF,supported,textbook11-r0021-c007,"In the step of preprocessing, tuple duplication is not needed at all.",False,
TF-0223,TF,supported,textbook11-r0089-c001,"Outlier detection (also known as anomaly detection) is the process of finding data
objects with behaviors that are very different from expectation.",True,
TF-0230,TF,supported,textbook11-r0103-c006,Content-based filtering analyzes the characteristics of items previously liked by a user.,True,
TF-0237,TF,supported,textbook19-r0319-c000|textbook19-r0072-c001,The term frequency component of tf-idf decreases the weight of common terms.,False,
TF-0243,TF,partial,textbook19-r0019-c002,The parameter size will remain unchanged given a larger N in N-gram models because of the Markov assumption.,False,段落支持语义角色概念，题目中的全称判断需结合上下文。
TF-0251,TF,supported,textbook20-r0026-c000,Natural Language Processing can only be applied to written text and not to spoken language.,False,
TF-0257,TF,supported,textbook16-r0004-c022,Artificial Neural Networks (ANNs) are inspired by the biological neural networks found in the human brain.,True,
TF-0264,TF,not_found,,You Only Look Once (YOLO) is a popular object detection algorithm that performs detection in a single pass through the network.,True,
TF-0276,TF,supported,textbook2-r0009-c002,It is possible for a given agent to be perfectly rational in two distinct task environments.,True,
TF-0281,TF,not_found,,"According to some political pundits, a person who is radical (R) is electable (E ) if he/she is conservative (C ), but otherwise is not electable. Can the sentence be expressed in Horn form:R ⇒ ((C ⇒ E ) ∨ ¬E )",True,
TF-0286,TF,not_found,,"For the following data set, data privacy is an important issue: census data collected from 1900–1950.",False,
TF-0298,TF,not_found,,"Here are two sentences in the language of ﬁrst-order logic: (A) ∀ x ∃ y (x ≥ y ) (B) ∃ y ∀ x (x ≥ y ). Assume that the variables range over all the natural numbers 0, 1, 2,... ,∞ and that the “≥” predicate means “is greater than or equal to.” Does (A) logically entail (B)?",False,
TF-0303,TF,supported,textbook2-r0053-c005,"In backward chaining, FOL-BC-ASK(KB, goal) can return multiple results when the goal contains variables, as it considers all possible substitutions that can satisfy the query.",True,
TF-0306,TF,supported,textbook2-r0041-c003,The initial construction of a knowledge base for the wumpus world focuses on both immutable and mutable aspects of the environment.,False,
